DockQ,irms,Lrms,fnat,classification,model,zrank2_score,zrank_score,rosetta_score,HDX_score
0.0128064409875697,22.42658040408055,45.330991177059815,0.0,0,MODEL_836_NATIVE,-95.4074,-50.1413,2698.502,0.03547723295512277
0.016085321032764,19.60943574829167,40.375802824537885,0.0,0,MODEL_742_NATIVE,-54.4185,-38.0622,2683.853,0.035477274648097835
0.0169637225203394,19.549826989079,39.139877652486696,0.0,0,MODEL_624_NATIVE,-58.7519,-36.2556,2664.805,0.03548471145440025
0.0366853579402158,15.78288579540418,25.344780728115403,0.0,0,MODEL_291_REVISED,142.25,-22.8474,3595.259,0.03549264289439087
0.0153958207135852,20.068895540169294,41.302577313107854,0.0,0,MODEL_544_NATIVE,-61.7315,-41.4449,2688.464,0.035492666506308446
0.0124944701564293,22.192492128007,46.05884158524752,0.0,0,MODEL_360_NATIVE,-36.9238,-26.2372,2766.205,0.03549526520455824
0.0167139586662262,19.16468030100869,39.59563883715399,0.0,0,MODEL_983_NATIVE,-23.3977,-28.4741,2684.894,0.03549875332746089
0.1389747103397803,7.933484551458632,14.605663992885669,0.1294117647058823,0,MODEL_28_REVISED,199.643,-90.3916,4324.011,0.035504639661047055
0.0145877656274785,21.197359068042665,42.31768887308004,0.0,0,MODEL_7_NATIVE,-23.7573,-28.0465,2653.218,0.035508814172536776
0.0161902293244503,19.51479316260152,40.24796305349653,0.0,0,MODEL_789_NATIVE,-39.4164,-28.6644,2686.322,0.035511649265094654
0.0138853476969013,21.183004569665734,43.56831065387145,0.0,0,MODEL_34_NATIVE,-31.373,-28.5282,2680.098,0.03551294220217192
0.0152106611950742,20.146203761794272,41.57700274872508,0.0,0,MODEL_161_NATIVE,-42.0708,-42.0201,2708.16,0.03552936911994232
0.0162771260545261,19.51272334915346,40.12079535312096,0.0,0,MODEL_460_NATIVE,-50.3583,-32.3593,2691.662,0.03553561099651383
0.0149529338498478,20.520078006257734,41.8908306537651,0.0,0,MODEL_636_NATIVE,-62.4487,-44.4308,2691.215,0.035541915886381344
0.0156835504184746,19.777805613930443,40.93670127444758,0.0,0,MODEL_988_NATIVE,-46.1475,-35.5359,2688.102,0.03554826002717982
0.0165740626170779,19.242157573103057,39.77116902637955,0.0,0,MODEL_79_NATIVE,-37.908,-35.2823,2682.363,0.03555074133487963
0.0157460781567039,19.924324726364112,40.797426596210094,0.0,0,MODEL_165_NATIVE,-58.3418,-40.0467,2709.71,0.03555840855111104
0.0144329258383701,21.53932959862469,42.49373308628847,0.0,0,MODEL_393_NATIVE,-74.3705,-41.5779,2655.885,0.03555841981682608
0.0146343528112061,20.410960045596536,42.45996849534341,0.0,0,MODEL_50_NATIVE,-40.8547,-33.2333,2686.057,0.035562586409424043
0.0141720571207969,21.21740187231807,43.03730531643191,0.0,0,MODEL_957_NATIVE,-64.2719,-46.3347,2692.434,0.035563801711231545
0.0135021544341903,21.78304747035193,44.12072535742232,0.0,0,MODEL_17_NATIVE,-67.4056,-38.4759,2685.784,0.035566599606454474
0.0143254696071897,21.54409396479992,42.67880930218524,0.0,0,MODEL_984_NATIVE,-70.4346,-39.6578,2723.905,0.03558191569711357
0.0138030599667828,21.20957186854517,43.713580043866,0.0,0,MODEL_753_NATIVE,-57.4851,-33.4216,2714.285,0.03559574744426789
0.0153119391096986,20.07451392288993,41.43485356507634,0.0,0,MODEL_319_NATIVE,-51.7538,-38.1092,2680.001,0.03559670282535679
0.0144155870375937,20.63080230983293,42.77443749084375,0.0,0,MODEL_715_NATIVE,-77.0037,-48.9988,2667.304,0.03560755522565014
0.0134634156866712,21.445575314054093,44.29120035621165,0.0,0,MODEL_85_NATIVE,-70.7998,-30.989,2631.558,0.03562210211310253
0.0157788059828915,19.85917842126528,40.76606992917535,0.0,0,MODEL_231_NATIVE,-69.7362,-34.5711,2703.237,0.03562585877386541
